brand,processor_brand,ram_gb,ssd,hdd,os_bit,Touchscreen,Price
HP,Intel,16 GB,1024 GB,0 GB,64-bit,Yes,179990
MSI,Intel,16 GB,1024 GB,0 GB,64-bit,Yes,154990
Lenovo,Intel,16 GB,1024 GB,0 GB,64-bit,No,122990
ASUS,Intel,16 GB,1024 GB,0 GB,64-bit,Yes,224990
MSI,Intel,16 GB,1024 GB,0 GB,64-bit,No,279990
HP,Intel,16 GB,1024 GB,0 GB,64-bit,No,121990
HP,Intel,16 GB,1024 GB,0 GB,64-bit,No,116990
Lenovo,Intel,16 GB,1024 GB,0 GB,64-bit,No,151098
MSI,Intel,16 GB,1024 GB,0 GB,64-bit,No,129990
HP,Intel,16 GB,1024 GB,0 GB,64-bit,Yes,149999
MSI,Intel,16 GB,1024 GB,0 GB,64-bit,No,139990
acer,Intel,16 GB,1024 GB,0 GB,64-bit,No,129990
HP,Intel,16 GB,1024 GB,0 GB,64-bit,No,171990
DELL,Intel,16 GB,1024 GB,0 GB,64-bit,No,93955
ASUS,Intel,16 GB,1024 GB,0 GB,64-bit,No,234990
HP,Intel,16 GB,1024 GB,0 GB,64-bit,Yes,128500
Lenovo,Intel,16 GB,1024 GB,0 GB,64-bit,Yes,102990
ASUS,Intel,16 GB,1024 GB,0 GB,64-bit,Yes,119990
ASUS,Intel,16 GB,1024 GB,0 GB,32-bit,No,120980
ASUS,Intel,16 GB,1024 GB,0 GB,32-bit,No,157249
Lenovo,Intel,16 GB,1024 GB,0 GB,64-bit,No,229900
ASUS,Intel,16 GB,1024 GB,0 GB,64-bit,No,131500
ASUS,Intel,16 GB,1024 GB,0 GB,64-bit,No,154990
ASUS,Intel,16 GB,1024 GB,0 GB,64-bit,No,165990
Lenovo,Intel,16 GB,1024 GB,0 GB,64-bit,No,119990
ASUS,Intel,16 GB,1024 GB,0 GB,64-bit,No,167990
HP,Intel,16 GB,1024 GB,0 GB,64-bit,Yes,165000
Avita,Intel,16 GB,1024 GB,0 GB,64-bit,No,62990
Lenovo,Intel,16 GB,1024 GB,0 GB,64-bit,No,85990
HP,Intel,16 GB,1024 GB,0 GB,64-bit,No,94990
HP,Intel,16 GB,1024 GB,0 GB,64-bit,No,136990
Lenovo,Intel,16 GB,1024 GB,0 GB,64-bit,No,234990
acer,Intel,16 GB,2048 GB,0 GB,64-bit,No,159990
ASUS,Intel,16 GB,2048 GB,0 GB,64-bit,No,233990
ASUS,Intel,16 GB,0 GB,1024 GB,64-bit,No,93990
HP,Intel,16 GB,128 GB,1024 GB,64-bit,No,116941
MSI,Intel,8 GB,256 GB,1024 GB,64-bit,No,63990
ASUS,Intel,16 GB,256 GB,1024 GB,64-bit,No,66990
ASUS,Intel,16 GB,256 GB,1024 GB,32-bit,No,82500
acer,Intel,16 GB,256 GB,1024 GB,64-bit,No,119990
MSI,Intel,16 GB,256 GB,1024 GB,64-bit,No,159990
ASUS,Intel,16 GB,256 GB,1024 GB,64-bit,No,98912
acer,Intel,16 GB,512 GB,1024 GB,64-bit,No,92990
acer,Intel,16 GB,512 GB,1024 GB,32-bit,No,119990
acer,Intel,32 GB,1024 GB,0 GB,64-bit,No,169990
acer,Intel,16 GB,1024 GB,0 GB,64-bit,No,139990
MSI,Intel,16 GB,1024 GB,0 GB,64-bit,No,192990
ASUS,Intel,16 GB,1024 GB,0 GB,64-bit,No,299990
ASUS,Intel,16 GB,1024 GB,0 GB,64-bit,Yes,269990
ASUS,Intel,16 GB,1024 GB,0 GB,64-bit,No,139990
Lenovo,Intel,16 GB,1024 GB,0 GB,32-bit,No,265998
ASUS,Intel,16 GB,3072 GB,0 GB,32-bit,No,441990
MSI,Intel,8 GB,0 GB,512 GB,32-bit,No,86990
MSI,Intel,8 GB,0 GB,512 GB,32-bit,No,109990
MSI,Intel,8 GB,0 GB,512 GB,32-bit,No,109590
ASUS,Intel,16 GB,0 GB,512 GB,32-bit,No,146490
APPLE,M1,8 GB,256 GB,0 GB,64-bit,No,85990
APPLE,M1,8 GB,256 GB,0 GB,64-bit,No,112990
APPLE,M1,16 GB,256 GB,0 GB,64-bit,No,104990
APPLE,M1,8 GB,256 GB,0 GB,64-bit,No,112990
APPLE,M1,16 GB,256 GB,0 GB,64-bit,No,132990
APPLE,M1,16 GB,256 GB,0 GB,64-bit,No,104990
APPLE,M1,8 GB,256 GB,0 GB,64-bit,No,85990
APPLE,M1,16 GB,512 GB,0 GB,64-bit,No,149990
APPLE,M1,8 GB,512 GB,0 GB,64-bit,No,125990
APPLE,M1,8 GB,512 GB,0 GB,64-bit,No,103990
APPLE,M1,8 GB,512 GB,0 GB,64-bit,No,101990
APPLE,M1,8 GB,512 GB,0 GB,64-bit,No,104990
APPLE,M1,8 GB,512 GB,0 GB,64-bit,No,131990
APPLE,M1,16 GB,512 GB,0 GB,64-bit,No,128990
APPLE,M1,16 GB,512 GB,0 GB,64-bit,No,184990
APPLE,M1,16 GB,512 GB,0 GB,64-bit,No,225990
APPLE,M1,4 GB,512 GB,0 GB,64-bit,No,124990
APPLE,M1,8 GB,512 GB,0 GB,64-bit,No,104990
APPLE,M1,8 GB,1024 GB,0 GB,64-bit,No,149990
APPLE,M1,16 GB,1024 GB,0 GB,64-bit,No,169990
APPLE,M1,16 GB,1024 GB,0 GB,64-bit,No,225990
APPLE,M1,16 GB,1024 GB,0 GB,64-bit,No,243990
APPLE,M1,32 GB,1024 GB,0 GB,64-bit,No,309990
APPLE,M1,16 GB,1024 GB,0 GB,64-bit,No,225990
ASUS,Intel,4 GB,0 GB,512 GB,64-bit,No,45990
ASUS,Intel,4 GB,128 GB,0 GB,32-bit,Yes,58100
ASUS,Intel,8 GB,256 GB,0 GB,64-bit,Yes,62990
HP,Intel,8 GB,256 GB,0 GB,64-bit,No,32990
ASUS,Intel,4 GB,256 GB,0 GB,64-bit,No,33990
acer,Intel,4 GB,256 GB,0 GB,64-bit,No,30990
DELL,Intel,4 GB,256 GB,0 GB,64-bit,No,36000
ASUS,Intel,4 GB,256 GB,0 GB,64-bit,No,32990
DELL,Intel,4 GB,256 GB,0 GB,64-bit,No,35990
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,27990
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,25990
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,25990
ASUS,Intel,4 GB,0 GB,1024 GB,64-bit,No,30780
HP,AMD,8 GB,256 GB,0 GB,64-bit,No,37990
ASUS,AMD,8 GB,256 GB,0 GB,64-bit,No,35990
DELL,AMD,8 GB,256 GB,0 GB,64-bit,No,39490
DELL,AMD,8 GB,256 GB,0 GB,64-bit,No,36990
DELL,AMD,8 GB,256 GB,0 GB,64-bit,No,39990
ASUS,AMD,4 GB,256 GB,0 GB,64-bit,No,33690
DELL,AMD,8 GB,256 GB,0 GB,64-bit,No,40590
ASUS,AMD,4 GB,256 GB,0 GB,64-bit,No,37990
ASUS,AMD,4 GB,256 GB,0 GB,64-bit,No,34500
acer,AMD,8 GB,512 GB,0 GB,64-bit,No,36990
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,43490
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,41490
acer,AMD,4 GB,512 GB,0 GB,64-bit,No,34990
HP,AMD,4 GB,512 GB,0 GB,64-bit,No,44490
DELL,AMD,4 GB,512 GB,0 GB,64-bit,No,40590
DELL,AMD,8 GB,512 GB,0 GB,64-bit,No,42090
DELL,AMD,8 GB,0 GB,1024 GB,64-bit,No,35990
HP,AMD,8 GB,0 GB,1024 GB,64-bit,No,39490
DELL,AMD,8 GB,0 GB,1024 GB,64-bit,No,37390
DELL,AMD,4 GB,0 GB,1024 GB,64-bit,No,52632
DELL,AMD,4 GB,0 GB,1024 GB,64-bit,No,39990
DELL,AMD,4 GB,0 GB,1024 GB,64-bit,No,43990
HP,AMD,4 GB,0 GB,1024 GB,64-bit,No,32917
Lenovo,AMD,4 GB,0 GB,1024 GB,64-bit,No,34990
DELL,AMD,8 GB,0 GB,1024 GB,64-bit,No,39990
HP,AMD,8 GB,256 GB,1024 GB,64-bit,No,41999
DELL,AMD,8 GB,256 GB,0 GB,64-bit,No,41990
DELL,AMD,8 GB,256 GB,0 GB,64-bit,No,44490
DELL,AMD,8 GB,256 GB,0 GB,64-bit,No,41990
DELL,AMD,8 GB,256 GB,0 GB,64-bit,No,44490
MSI,AMD,4 GB,256 GB,0 GB,64-bit,No,49990
DELL,AMD,4 GB,256 GB,0 GB,64-bit,No,44390
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,57990
Lenovo,AMD,8 GB,512 GB,0 GB,64-bit,No,56990
Lenovo,AMD,8 GB,512 GB,0 GB,64-bit,No,48990
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,49970
MSI,AMD,8 GB,512 GB,0 GB,64-bit,No,47990
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,48990
acer,AMD,8 GB,512 GB,0 GB,64-bit,No,53990
Lenovo,AMD,8 GB,512 GB,0 GB,64-bit,No,52990
acer,AMD,8 GB,512 GB,0 GB,64-bit,No,43990
Lenovo,AMD,8 GB,512 GB,0 GB,64-bit,No,59490
MSI,AMD,8 GB,512 GB,0 GB,64-bit,No,64990
DELL,AMD,8 GB,512 GB,0 GB,64-bit,No,47490
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,59990
Lenovo,AMD,8 GB,512 GB,0 GB,64-bit,No,69990
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,58990
DELL,AMD,8 GB,512 GB,0 GB,64-bit,No,59490
HP,AMD,16 GB,512 GB,0 GB,64-bit,No,67500
HP,AMD,8 GB,512 GB,0 GB,32-bit,No,48990
ASUS,AMD,8 GB,512 GB,0 GB,64-bit,Yes,62450
ASUS,AMD,8 GB,512 GB,0 GB,64-bit,No,58990
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,57999
ASUS,AMD,16 GB,512 GB,0 GB,64-bit,No,56990
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,72990
HP,AMD,16 GB,512 GB,0 GB,64-bit,No,65990
HP,AMD,16 GB,512 GB,0 GB,64-bit,Yes,98020
HP,AMD,16 GB,512 GB,0 GB,64-bit,No,63990
ASUS,AMD,8 GB,512 GB,0 GB,32-bit,No,49890
DELL,AMD,8 GB,512 GB,0 GB,64-bit,No,49990
DELL,AMD,8 GB,512 GB,0 GB,64-bit,No,59490
HP,AMD,8 GB,512 GB,0 GB,64-bit,Yes,73999
DELL,AMD,4 GB,512 GB,0 GB,64-bit,No,60990
DELL,AMD,4 GB,512 GB,0 GB,64-bit,No,76190
Lenovo,AMD,4 GB,512 GB,0 GB,64-bit,Yes,74798
ASUS,AMD,4 GB,512 GB,0 GB,64-bit,No,58990
HP,AMD,4 GB,512 GB,0 GB,32-bit,No,68100
Lenovo,AMD,4 GB,512 GB,0 GB,64-bit,Yes,77990
HP,AMD,4 GB,512 GB,0 GB,64-bit,No,55090
ASUS,AMD,4 GB,512 GB,0 GB,64-bit,Yes,91990
HP,AMD,4 GB,512 GB,0 GB,64-bit,No,84208
acer,AMD,4 GB,512 GB,0 GB,64-bit,No,44990
HP,AMD,4 GB,512 GB,0 GB,64-bit,No,53490
Lenovo,AMD,4 GB,512 GB,0 GB,64-bit,No,76498
DELL,AMD,4 GB,512 GB,0 GB,64-bit,No,98920
MSI,AMD,4 GB,512 GB,0 GB,64-bit,No,54990
acer,AMD,4 GB,512 GB,0 GB,64-bit,No,49990
HP,AMD,4 GB,512 GB,0 GB,32-bit,No,52380
acer,AMD,4 GB,512 GB,0 GB,64-bit,No,49990
HP,AMD,4 GB,512 GB,0 GB,64-bit,No,52500
ASUS,AMD,4 GB,512 GB,0 GB,64-bit,No,49990
acer,AMD,4 GB,512 GB,0 GB,64-bit,No,75999
ASUS,AMD,4 GB,512 GB,0 GB,64-bit,No,80990
Lenovo,AMD,4 GB,512 GB,0 GB,32-bit,No,59900
HP,AMD,4 GB,512 GB,0 GB,64-bit,No,54590
DELL,AMD,4 GB,512 GB,0 GB,64-bit,Yes,75500
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,51890
ASUS,AMD,16 GB,512 GB,0 GB,64-bit,No,78000
HP,AMD,16 GB,512 GB,0 GB,64-bit,No,59999
HP,AMD,8 GB,512 GB,0 GB,64-bit,No,64990
DELL,AMD,4 GB,1024 GB,0 GB,32-bit,No,57900
Lenovo,AMD,4 GB,1024 GB,0 GB,64-bit,Yes,81978
HP,AMD,4 GB,0 GB,1024 GB,64-bit,No,59990
DELL,AMD,8 GB,256 GB,1024 GB,64-bit,No,49490
ASUS,AMD,8 GB,256 GB,1024 GB,64-bit,No,54990
Lenovo,AMD,8 GB,256 GB,1024 GB,64-bit,No,68500
ASUS,AMD,8 GB,256 GB,1024 GB,64-bit,No,54990
ASUS,AMD,8 GB,256 GB,1024 GB,32-bit,No,54990
Lenovo,AMD,8 GB,256 GB,1024 GB,64-bit,No,63990
HP,AMD,4 GB,256 GB,1024 GB,64-bit,No,80000
DELL,AMD,4 GB,256 GB,1024 GB,32-bit,No,51990
ASUS,AMD,4 GB,256 GB,1024 GB,64-bit,No,62990
HP,AMD,4 GB,256 GB,1024 GB,64-bit,No,52990
ASUS,AMD,4 GB,256 GB,1024 GB,64-bit,No,75100
ASUS,AMD,16 GB,512 GB,0 GB,32-bit,No,76990
ASUS,AMD,16 GB,512 GB,0 GB,64-bit,No,79990
ASUS,AMD,8 GB,512 GB,0 GB,64-bit,No,71990
ASUS,AMD,8 GB,512 GB,0 GB,64-bit,No,71990
Lenovo,AMD,16 GB,512 GB,0 GB,64-bit,No,99990
ASUS,AMD,16 GB,512 GB,0 GB,64-bit,No,79990
DELL,AMD,16 GB,512 GB,0 GB,64-bit,No,93990
ASUS,AMD,16 GB,512 GB,0 GB,64-bit,No,82990
ASUS,AMD,4 GB,512 GB,0 GB,64-bit,No,106990
ASUS,AMD,4 GB,512 GB,0 GB,64-bit,No,92990
Lenovo,Intel,4 GB,512 GB,0 GB,32-bit,No,81490
ASUS,AMD,4 GB,512 GB,0 GB,64-bit,No,56990
MSI,AMD,4 GB,512 GB,0 GB,64-bit,No,64990
Lenovo,AMD,4 GB,512 GB,0 GB,64-bit,No,60990
Lenovo,AMD,4 GB,512 GB,0 GB,64-bit,No,84988
HP,AMD,4 GB,512 GB,0 GB,64-bit,No,90990
ASUS,AMD,4 GB,512 GB,0 GB,64-bit,No,63990
Lenovo,AMD,4 GB,512 GB,0 GB,64-bit,No,63990
HP,AMD,4 GB,512 GB,0 GB,64-bit,No,57999
ASUS,AMD,4 GB,512 GB,0 GB,32-bit,No,72400
Lenovo,AMD,4 GB,512 GB,0 GB,64-bit,Yes,78990
acer,AMD,4 GB,512 GB,0 GB,64-bit,No,59990
ASUS,AMD,4 GB,512 GB,0 GB,32-bit,No,111990
HP,AMD,4 GB,512 GB,0 GB,32-bit,Yes,109000
DELL,AMD,4 GB,512 GB,0 GB,64-bit,No,89990
Lenovo,AMD,4 GB,512 GB,0 GB,64-bit,Yes,78988
Lenovo,AMD,4 GB,512 GB,0 GB,64-bit,No,73138
Lenovo,AMD,4 GB,512 GB,0 GB,64-bit,No,106990
ASUS,AMD,4 GB,512 GB,0 GB,32-bit,No,79990
DELL,AMD,4 GB,512 GB,0 GB,64-bit,Yes,89570
HP,AMD,4 GB,512 GB,0 GB,64-bit,No,68500
Lenovo,AMD,16 GB,512 GB,0 GB,64-bit,No,73400
HP,AMD,16 GB,512 GB,0 GB,64-bit,No,79990
HP,AMD,16 GB,512 GB,0 GB,64-bit,No,84990
MSI,AMD,16 GB,1024 GB,0 GB,64-bit,No,99990
ASUS,AMD,8 GB,1024 GB,0 GB,64-bit,No,72990
HP,AMD,16 GB,1024 GB,0 GB,64-bit,Yes,92990
HP,AMD,16 GB,1024 GB,0 GB,64-bit,No,84190
ASUS,AMD,16 GB,1024 GB,0 GB,64-bit,Yes,112990
ASUS,AMD,4 GB,1024 GB,0 GB,32-bit,No,114990
acer,AMD,4 GB,1024 GB,0 GB,64-bit,No,99990
ASUS,AMD,4 GB,1024 GB,0 GB,32-bit,No,95990
HP,AMD,4 GB,1024 GB,0 GB,64-bit,No,159990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,76990
Lenovo,AMD,4 GB,1024 GB,0 GB,64-bit,No,130990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,99990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,112990
Lenovo,AMD,4 GB,1024 GB,0 GB,64-bit,No,77988
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,76000
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,Yes,99990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,111000
ASUS,AMD,16 GB,1024 GB,0 GB,64-bit,No,84970
HP,AMD,16 GB,256 GB,1024 GB,64-bit,No,75990
acer,AMD,16 GB,256 GB,1024 GB,64-bit,No,89990
acer,AMD,16 GB,256 GB,1024 GB,64-bit,No,81990
Lenovo,AMD,4 GB,512 GB,1024 GB,32-bit,No,80490
ASUS,AMD,16 GB,1024 GB,0 GB,64-bit,No,135990
ASUS,AMD,16 GB,1024 GB,0 GB,32-bit,No,154990
ASUS,AMD,16 GB,1024 GB,0 GB,64-bit,No,199990
ASUS,AMD,16 GB,1024 GB,0 GB,64-bit,No,114990
ASUS,AMD,16 GB,1024 GB,0 GB,64-bit,No,129990
ASUS,AMD,16 GB,1024 GB,0 GB,64-bit,Yes,114990
MSI,AMD,4 GB,1024 GB,0 GB,64-bit,No,146990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,104990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,Yes,114990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,Yes,124990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,Yes,134990
HP,AMD,4 GB,1024 GB,0 GB,64-bit,No,141990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,129990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,Yes,142990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,121990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,Yes,124990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,141990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,162990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,130500
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,116990
ASUS,AMD,4 GB,1024 GB,0 GB,32-bit,No,138990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,Yes,234990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,135990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,144990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,149990
ASUS,AMD,4 GB,1024 GB,0 GB,64-bit,No,142990
Lenovo,AMD,8 GB,512 GB,0 GB,64-bit,No,57490
